SalesID,ProductID,CustomerID,Quantity,Price,TotalAmount,SalesDate
100,1004,101,3,48,144,2025-12-07
101,1008,104,2,82,164,2025-12-07
102,1004,109,1,48,48,2025-12-07
103,1019,107,1,6,6,2025-12-07
104,1001,102,2,420,840,2025-12-07
105,1008,109,5,82,410,2025-12-07
106,1001,109,2,420,840,2025-12-07
107,1018,107,2,20,40,2025-12-07
108,1015,110,3,11,33,2025-12-07
109,1001,103,4,420,1680,2025-12-07
110,1011,105,2,14,28,2025-12-07
111,1007,106,1,22,22,2025-12-07
112,1003,107,1,720,720,2025-12-07
113,1012,106,5,26,130,2025-12-07
114,1009,101,4,70,280,2025-12-07
115,1018,102,4,20,80,2025-12-07
116,1003,109,3,720,2160,2025-12-07
117,1020,106,5,33,165,2025-12-07
118,1007,102,1,22,22,2025-12-07
119,1008,105,1,82,82,2025-12-07
120,1008,102,4,82,328,2025-12-07
121,1009,108,3,70,210,2025-12-07
122,1006,106,3,310,930,2025-12-07
123,1007,105,1,22,22,2025-12-07
124,1020,103,5,33,165,2025-12-07
125,1008,103,4,82,328,2025-12-07
126,1013,105,5,34,170,2025-12-07
127,1008,106,1,82,82,2025-12-07
128,1008,101,3,82,246,2025-12-07
129,1013,105,1,34,34,2025-12-07
130,1007,110,3,22,66,2025-12-07
131,1007,108,4,22,88,2025-12-07
132,1015,103,3,11,33,2025-12-07
133,1005,104,5,30,150,2025-12-07
134,1018,105,5,20,100,2025-12-07
135,1014,110,4,58,232,2025-12-07
136,1012,104,2,26,52,2025-12-07
137,1017,108,1,16,16,2025-12-07
138,1002,102,2,390,780,2025-12-07
139,1006,107,5,310,1550,2025-12-07
140,1003,107,4,720,2880,2025-12-07
141,1020,108,5,33,165,2025-12-07
142,1009,109,1,70,70,2025-12-07
143,1004,109,3,48,144,2025-12-07
144,1011,102,3,14,42,2025-12-07
145,1014,103,4,58,232,2025-12-07
146,1001,105,5,420,2100,2025-12-07
147,1006,109,1,310,310,2025-12-07
148,1010,109,5,95,475,2025-12-07
149,1007,103,3,22,66,2025-12-07
150,1006,109,5,310,1550,2025-12-07
151,1001,110,3,420,1260,2025-12-07
152,1016,101,1,7,7,2025-12-07
153,1012,105,2,26,52,2025-12-07
154,1002,104,5,390,1950,2025-12-07
155,1003,102,4,720,2880,2025-12-07
156,1003,109,2,720,1440,2025-12-07
157,1005,108,5,30,150,2025-12-07
158,1006,105,5,310,1550,2025-12-07
159,1020,107,2,33,66,2025-12-07
160,1018,104,3,20,60,2025-12-07
161,1013,106,4,34,136,2025-12-07
162,1017,108,1,16,16,2025-12-07
163,1008,104,1,82,82,2025-12-07
164,1011,101,5,14,70,2025-12-07
165,1018,104,5,20,100,2025-12-07
166,1008,101,1,82,82,2025-12-07
167,1002,104,1,390,390,2025-12-07
168,1002,106,1,390,390,2025-12-07
169,1017,104,3,16,48,2025-12-07
170,1016,104,5,7,35,2025-12-07
171,1005,110,5,30,150,2025-12-07
172,1016,104,4,7,28,2025-12-07
173,1014,104,1,58,58,2025-12-07
174,1004,107,3,48,144,2025-12-07
175,1014,107,4,58,232,2025-12-07
176,1002,102,1,390,390,2025-12-07
177,1013,106,1,34,34,2025-12-07
178,1008,104,2,82,164,2025-12-07
179,1018,108,2,20,40,2025-12-07
180,1014,103,3,58,174,2025-12-07
181,1015,104,1,11,11,2025-12-07
182,1015,109,1,11,11,2025-12-07
183,1002,109,1,390,390,2025-12-07
184,1003,104,2,720,1440,2025-12-07
185,1014,108,4,58,232,2025-12-07
186,1007,107,1,22,22,2025-12-07
187,1006,107,1,310,310,2025-12-07
188,1013,105,4,34,136,2025-12-07
189,1010,107,5,95,475,2025-12-07
190,1016,103,2,7,14,2025-12-07
191,1010,104,1,95,95,2025-12-07
192,1019,109,1,6,6,2025-12-07
193,1011,101,1,14,14,2025-12-07
194,1019,108,5,6,30,2025-12-07
195,1017,103,1,16,16,2025-12-07
196,1017,102,2,16,32,2025-12-07
197,1003,110,1,720,720,2025-12-07
198,1008,107,1,82,82,2025-12-07
199,1019,104,5,6,30,2025-12-07
